成功历元数,失败历元数,平均RMS,RMS标准差,平均最大残差,平均卫星数,平均dx,平均dy,平均dz,平均|dx|,平均|dy|,平均|dz|,平均3D位置误差,测站名称,半球,纬度带,纬度,文件名,文件路径,测站完整代码,测站代码,年积日,时段,模型
240,0,18.42441708333333,2.709048750571044,,10.4,3.6629454166666666,0.8753725000000003,-1.003219999999999,3.6629454166666666,8.966423333333333,34.9395075,38.072351588959236,南极Davis站,南半球,高纬,-68.58,DAV100ATA_2024132_spp_klobuchar.txt,../output/RESULT_afternoon\DAV100ATA_2024132_spp_klobuchar.txt,DAV100ATA,DAV1,2024132,12,klobuchar
240,0,18.400692916666667,2.724202211172195,,10.395833333333334,3.8855520833333332,1.8001929166666668,-3.608972083333335,3.8855520833333332,9.784410416666667,35.703167083333334,38.753375756727486,南极Davis站,南半球,高纬,-68.58,DAV100ATA_2024132_spp_no_ionosphere.txt,../output/RESULT_afternoon\DAV100ATA_2024132_spp_no_ionosphere.txt,DAV100ATA,DAV1,2024132,12,no_ionosphere
240,0,11.710053333333333,3.5673279119371566,,8.395833333333334,1.7819191666666674,-18.426202916666668,-7.350409166666668,15.921034166666667,19.027787083333337,11.990972500000002,30.267916441422358,霍巴特,南半球,中纬,-42.61,HOB200AUS_2024129_spp_klobuchar.txt,../output/RESULT_afternoon\HOB200AUS_2024129_spp_klobuchar.txt,HOB200AUS,HOB2,2024129,12,klobuchar
240,0,11.6716775,3.6177145371599817,,8.395833333333334,0.1992837499999998,-17.45455083333333,-9.148267083333334,15.521807083333332,18.2559725,13.10084375,30.111351219181923,霍巴特,南半球,中纬,-42.61,HOB200AUS_2024129_spp_no_ionosphere.txt,../output/RESULT_afternoon\HOB200AUS_2024129_spp_no_ionosphere.txt,HOB200AUS,HOB2,2024129,12,no_ionosphere
240,0,11.705160000000001,4.059938188327213,,8.529166666666667,10.813139166666668,-22.23546208333333,0.8434408333333338,12.806221666666666,22.23546208333333,10.065637500000001,28.817981255100808,霍巴特,南半球,中纬,-42.61,HOB200AUS_2024132_spp_klobuchar.txt,../output/RESULT_afternoon\HOB200AUS_2024132_spp_klobuchar.txt,HOB200AUS,HOB2,2024132,12,klobuchar
240,0,11.695544166666668,4.125485410897811,,8.529166666666667,9.207137499999998,-21.266402916666667,-0.9672858333333333,11.673493333333333,21.266402916666667,10.705619166666668,27.66834798615048,霍巴特,南半球,中纬,-42.61,HOB200AUS_2024132_spp_no_ionosphere.txt,../output/RESULT_afternoon\HOB200AUS_2024132_spp_no_ionosphere.txt,HOB200AUS,HOB2,2024132,12,no_ionosphere
240,0,17.01550666666667,2.7913707118998796,,9.908333333333333,3.659150833333333,-33.559208749999996,11.600926250000002,8.932805,33.559208749999996,12.278122083333333,38.098462235199754,圭亚那,北半球,低纬,5.25,KOUR00GUF_2024129_spp_klobuchar.txt,../output/RESULT_afternoon\KOUR00GUF_2024129_spp_klobuchar.txt,KOUR00GUF,KOUR,2024129,12,klobuchar
240,0,17.023262916666667,2.643459590516637,,9.933333333333334,10.828560833333333,-44.23929166666667,13.015775,10.828560833333333,44.23929166666667,13.4016825,48.974566476970104,圭亚那,北半球,低纬,5.25,KOUR00GUF_2024129_spp_no_ionosphere.txt,../output/RESULT_afternoon\KOUR00GUF_2024129_spp_no_ionosphere.txt,KOUR00GUF,KOUR,2024129,12,no_ionosphere
240,0,16.66666,1.9312517822022621,,9.9375,-2.4626945833333336,-23.42229041666667,14.689690833333332,9.665344583333335,23.42229041666667,14.689690833333332,30.247743003648452,圭亚那,北半球,低纬,5.25,KOUR00GUF_2024132_spp_klobuchar.txt,../output/RESULT_afternoon\KOUR00GUF_2024132_spp_klobuchar.txt,KOUR00GUF,KOUR,2024132,12,klobuchar
240,0,16.5045125,1.8164736050476287,,9.9375,6.399421249999999,-36.32477000000001,16.60811208333333,7.669921249999999,36.32477000000001,16.60811208333333,42.05985603471096,圭亚那,北半球,低纬,5.25,KOUR00GUF_2024132_spp_no_ionosphere.txt,../output/RESULT_afternoon\KOUR00GUF_2024132_spp_no_ionosphere.txt,KOUR00GUF,KOUR,2024132,12,no_ionosphere
