prn,toe,toc,a0,a1,a2,sqrt_a,e,i0,omega0,omegadot,m0,w,delta_n,idot,c_uc,c_us,c_rc,c_rs,c_ic,c_is,tgd,health,week,fit_interval
1,324000.0,316818.0,0.000276798382401,-4.66116034659e-12,0.0,5153.76761627,0.013409407693,0.955092911133,0.318316246852,-7.99640451092e-09,-0.948873203738,1.03198806055,5.61023368875e-09,-6.07168148133e-12,6.0647726059e-06,1.06375664473e-05,173.875,111.4375,9.87201929092e-08,2.84984707832e-07,-1.95577740669e-08,63.0,2313,4
1,331200.0,324828.0,0.000276764389128,-4.66116034659e-12,0.0,5153.76496506,0.0134083878947,0.955092606846,0.318258268483,-8.05033532878e-09,0.10117763946,1.03207032043,5.62916304866e-09,-4.39304013061e-11,5.55254518986e-06,1.12969428301e-05,162.34375,105.40625,-1.30385160446e-07,2.30967998505e-07,-1.95577740669e-08,63.0,2313,4
1,338400.0,331788.0,0.000276730395853,-4.77484718431e-12,0.0,5153.76885986,0.0134103883756,0.955091559397,0.318201156161,-8.03212028434e-09,1.15125571634,1.03212241787,5.50987236544e-09,-1.99651173416e-10,5.82821667194e-06,1.18985772133e-05,146.46875,111.5,-1.95577740669e-07,1.86264514923e-08,-1.95577740669e-08,63.0,2313,4
2,266384.0,259398.0,-0.000440121162683,6.70752342558e-12,0.0,5153.70472908,0.0159943682374,0.967367953912,2.31340669356,-8.02712007606e-09,2.00228228949,-1.19365741232,4.42089843388e-09,-4.16445918073e-10,-8.41915607452e-06,4.13320958614e-06,302.4375,-162.09375,2.9057264328e-07,1.86264514923e-08,-1.76951289177e-08,0.0,2313,4
2,273584.0,273186.0,-0.000440072268248,6.70752342558e-12,0.0,5153.70853233,0.0159925769549,0.967365137795,2.31334847234,-8.00997650482e-09,3.05237647457,-1.1935914157,4.29839333105e-09,-3.03941231801e-10,-8.15279781818e-06,4.63612377644e-06,287.53125,-157.625,2.40281224251e-07,2.32830643654e-07,-1.76951289177e-08,0.0,2313,4
2,273600.0,266478.0,-0.000440072733909,6.70752342558e-12,0.0,5153.7085247,0.015992578934,0.967365131944,2.31334833922,-8.00997650482e-09,3.05471020926,-1.19359143179,4.29839333105e-09,-3.03941231801e-10,-8.15279781818e-06,4.63612377644e-06,287.53125,-157.625,2.40281224251e-07,2.32830643654e-07,-1.76951289177e-08,0.0,2313,4
2,280784.0,273618.0,-0.000440024305135,6.70752342558e-12,0.0,5153.7024765,0.0159954873379,0.967363383756,2.31329072072,-7.99283293357e-09,-2.18074383276,-1.19349671955,4.28267839074e-09,-2.36081262304e-10,-6.53974711895e-06,4.83170151711e-06,284.125,-133.90625,6.89178705216e-08,3.03611159325e-07,-1.76951289177e-08,0.0,2313,4
2,288000.0,280818.0,-0.000439975876361,6.70752342558e-12,0.0,5153.70604897,0.0159955715062,0.967360111209,2.31323082447,-8.40285001243e-09,-1.12812917003,-1.19361633944,4.29982196199e-09,-1.56792245312e-10,-6.31995499134e-06,4.89689409733e-06,293.8125,-123.15625,-2.71946191788e-07,5.40167093277e-08,-1.76951289177e-08,0.0,2313,4
2,295200.0,288018.0,-0.000439927447587,6.70752342558e-12,0.0,5153.70094109,0.0159931526287,0.967358594163,2.31317118422,-8.40963600938e-09,-0.0780414759293,-1.19354387818,4.35982446133e-09,-3.58229207399e-10,-6.63287937641e-06,3.87988984585e-06,313.3125,-126.03125,-2.64495611191e-07,-2.70083546638e-07,-1.76951289177e-08,0.0,2313,4
2,302400.0,301128.0,-0.000439879484475,6.70752342558e-12,0.0,5153.70499229,0.0159947164357,0.967355242617,2.31311074376,-8.45213777975e-09,0.972020745846,-1.19344314603,4.43018453497e-09,-4.86091676241e-10,-7.78026878834e-06,3.17394733429e-06,325.9375,-139.78125,6.89178705216e-08,-3.1478703022e-07,-1.76951289177e-08,0.0,2313,4
2,309600.0,303636.0,-0.000439831055701,6.70752342558e-12,0.0,5153.70474815,0.015995357302,0.967352869764,2.31305191251,-8.10819488172e-09,2.02219297613,-1.193455436,4.44732810621e-09,-5.87167315018e-10,-7.64429569244e-06,2.3040920496e-06,330.8125,-148.3125,2.60770320892e-07,3.16649675369e-08,-1.76951289177e-08,0.0,2313,4
2,316800.0,309618.0,-0.000439783092588,6.70752342558e-12,0.0,5153.70782852,0.015993773588,0.96734895207,2.31299281647,-8.09998025383e-09,3.0723140672,-1.19341499071,4.46768609706e-09,-4.32518016111e-10,-7.37048685551e-06,3.18512320519e-06,317.53125,-148.15625,2.29105353355e-07,2.83122062683e-07,-1.76951289177e-08,0.0,2313,4
2,324000.0,318306.0,-0.000439734663814,6.70752342558e-12,0.0,5153.701828,0.0159965340281,0.967346547032,2.3129343451,-8.04212070089e-09,-2.16081981162,-1.19330501584,4.51733102211e-09,-3.32156692802e-10,-6.14672899246e-06,3.58559191227e-06,309.9375,-124.9375,1.11758708954e-08,3.03611159325e-07,-1.76951289177e-08,0.0,2313,4
2,331200.0,324018.0,-0.00043968623504,6.70752342558e-12,0.0,5153.70447159,0.0159969051601,0.967342386493,2.31287373933,-8.53071248127e-09,-1.11056593002,-1.19339443086,4.62019244956e-09,-2.09294432239e-10,-5.88782131672e-06,3.77744436264e-06,314.4375,-113.03125,-3.22237610817e-07,-7.45058059692e-08,-1.76951289177e-08,0.0,2313,4
2,338400.0,331218.0,-0.000439638271928,6.70752342558e-12,0.0,5153.69998169,0.0159946476342,0.96734103622,2.31281193397,-8.58964350742e-09,-0.0604531571109,-1.19334354764,4.68733810359e-09,-2.10365905442e-10,-6.03497028351e-06,2.76416540146e-06,332.9375,-112.125,-1.62050127983e-07,-1.99303030968e-07,-1.76951289177e-08,0.0,2313,4
